Product Name,Prices
"realme C21 (Cross Black, 64 GB)","9,999"
"realme C21 (Cross Blue, 64 GB)","9,999"
"realme C21 (Cross Blue, 32 GB)","8,999"
"realme C21 (Cross Black, 32 GB)","8,999"
"OPPO A53 (Moonlight Black, 64 GB)","10,990"
"OPPO A53 (Mint Cream, 64 GB)","10,990"
"OPPO A53 (Moonlight Black, 128 GB)","12,990"
"POCO M3 (Power Black, 64 GB)","11,999"
"POCO M3 (Yellow, 64 GB)","11,999"
"OPPO A53 (Mint Cream, 128 GB)","12,990"
"POCO M3 (Cool Blue, 64 GB)","11,999"
"POCO C3 (Arctic Blue, 32 GB)","7,999"
"POCO M2 Reloaded (Mostly Blue, 64 GB)","9,999"
"OPPO A12 (Deep Blue, 64 GB)","9,490"
"OPPO A12 (Flowing Silver, 64 GB)","9,490"
"OPPO A12 (Blue, 32 GB)","8,490"
"OPPO A12 (Black, 32 GB)","8,490"
"Infinix Hot 10 Play (Morandi Green, 32 GB)","7,999"
"Infinix Hot 10 Play (7° Purple, 32 GB)","7,999"
"POCO M3 (Power Black, 128 GB)","12,999"
"POCO C3 (Matte Black, 64 GB)","8,999"
"realme C20 (Cool Blue, 32 GB)","7,499"
"POCO M3 (Cool Blue, 64 GB)","10,999"
"Infinix Hot 10 Play (Aegean Blue, 32 GB)","7,999"
